timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784135791714,324,POST Login,200,OK,setUp - Login Once 1-1,text,true,,1477,234,1,1,http://localhost:5050/api/v1/auth/login,321,0,8
1784135792744,91,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6743,366,1,1,http://localhost:5050/api/v1/courses?page=1&limit=20,91,0,2
1784135793339,4,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,1,1,http://localhost:4173/,4,0,1
1784135793849,9,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,578126,141,1,1,http://localhost:4173/assets/index-4REPhchB.js,8,0,0
1784135794365,6,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,1,1,http://localhost:4173/assets/index-DgVZD9jl.css,6,0,0
1784135794875,80,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6743,366,1,1,http://localhost:5050/api/v1/courses?page=1&limit=20,80,0,0
1784135795461,5,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,2,2,http://localhost:4173/,5,0,0
1784135795750,81,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6743,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,81,0,2
1784135795972,6,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,578126,141,2,2,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135796336,5,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,2,2,http://localhost:4173/,5,0,1
1784135796484,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784135796847,7,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,578126,141,2,2,http://localhost:4173/assets/index-4REPhchB.js,5,0,0
1784135796995,79,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6743,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,79,0,0
1784135797359,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784135797581,4,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,2,2,http://localhost:4173/,4,0,0
1784135797870,79,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6743,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,79,0,0
1784135798091,6,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,578126,141,2,2,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135798455,1,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,3,3,http://localhost:4173/,1,0,0
1784135798603,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784135798750,76,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6743,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,76,0,2
1784135798962,5,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,578126,141,3,3,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
1784135799113,76,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6743,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,76,0,0
1784135799330,5,Web - GET index.html,200,OK,Load - 10 users 1-3,text,true,,791,117,3,3,http://localhost:4173/,4,0,2
1784135799472,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784135799695,4,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,3,3,http://localhost:4173/,3,0,0
1784135799840,6,Web - GET JS bundle,200,OK,Load - 10 users 1-3,text,true,,578126,141,3,3,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135799982,80,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6743,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,80,0,0
1784135800201,6,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,578126,141,3,3,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135800352,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-3,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135800567,3,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,3,3,http://localhost:4173/,3,0,0
1784135800713,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135800862,76,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6743,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,76,0,0
1784135801076,5,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,578126,141,3,3,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135801222,76,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,76,0,0
1784135801451,4,Web - GET index.html,200,OK,Load - 10 users 1-3,text,true,,791,117,4,4,http://localhost:4173/,4,0,0
1784135801587,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135801803,3,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784135801749,85,API - GET Courses,200,OK,Load - 10 users 1-4,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,84,0,1
1784135801961,4,Web - GET JS bundle,200,OK,Load - 10 users 1-3,text,true,,578126,141,4,4,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
1784135802096,75,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,75,0,0
1784135802308,5,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,578126,141,4,4,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135802339,3,Web - GET index.html,200,OK,Load - 10 users 1-4,text,true,,791,117,4,4,http://localhost:4173/,3,0,1
1784135802471,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-3,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135802677,3,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784135802819,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135802847,4,Web - GET JS bundle,200,OK,Load - 10 users 1-4,text,true,,578126,141,4,4,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
1784135802980,83,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,83,0,0
1784135803186,5,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,578126,141,4,4,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135803357,2,Web - GET CSS bundle,200,OK,Load - 10 users 1-4,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,2,0,0
1784135803329,72,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,72,0,0
1784135803570,3,Web - GET index.html,200,OK,Load - 10 users 1-3,text,true,,791,117,4,4,http://localhost:4173/,2,0,0
1784135803697,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135803907,3,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784135803865,80,API - GET Courses,200,OK,Load - 10 users 1-4,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,80,0,0
1784135804074,4,Web - GET JS bundle,200,OK,Load - 10 users 1-3,text,true,,578126,141,4,4,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
1784135804207,92,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6743,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,92,0,0
1784135804416,6,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,578126,141,5,5,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135804448,3,Web - GET index.html,200,OK,Load - 10 users 1-4,text,true,,791,117,5,5,http://localhost:4173/,3,0,0
1784135804584,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-3,text,true,,5891,142,5,5,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135804805,3,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,5,5,http://localhost:4173/,3,0,0
1784135804750,81,API - GET Courses,200,OK,Load - 10 users 1-5,text,true,,6743,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,81,0,2
1784135804927,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,5,5,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135804955,2,Web - GET JS bundle,200,OK,Load - 10 users 1-4,text,true,,578126,141,5,5,http://localhost:4173/assets/index-4REPhchB.js,2,0,0
1784135805094,86,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6743,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,85,0,0
