timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784135842521,296,POST Login,200,OK,setUp - Login Once 1-1,text,true,,1477,234,1,1,http://localhost:5050/api/v1/auth/login,294,0,7
1784135843509,81,API - GET Courses,200,OK,Load - 50 users 1-1,text,true,,6743,366,1,1,http://localhost:5050/api/v1/courses?page=1&limit=20,81,0,1
1784135844098,4,Web - GET index.html,200,OK,Load - 50 users 1-1,text,true,,791,117,1,1,http://localhost:4173/,4,0,1
1784135844608,5,Web - GET JS bundle,200,OK,Load - 50 users 1-1,text,true,,578126,141,2,2,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
1784135844713,78,API - GET Courses,200,OK,Load - 50 users 1-2,text,true,,6743,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,78,0,2
1784135845115,3,Web - GET CSS bundle,200,OK,Load - 50 users 1-1,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135845299,3,Web - GET index.html,200,OK,Load - 50 users 1-2,text,true,,791,117,2,2,http://localhost:4173/,3,0,1
1784135845624,81,API - GET Courses,200,OK,Load - 50 users 1-1,text,true,,6743,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,81,0,0
1784135845807,6,Web - GET JS bundle,200,OK,Load - 50 users 1-2,text,true,,578126,141,3,3,http://localhost:4173/assets/index-4REPhchB.js,4,0,0
1784135845913,79,API - GET Courses,200,OK,Load - 50 users 1-3,text,true,,6743,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,78,0,1
1784135846211,4,Web - GET index.html,200,OK,Load - 50 users 1-1,text,true,,791,117,3,3,http://localhost:4173/,3,0,0
1784135846319,4,Web - GET CSS bundle,200,OK,Load - 50 users 1-2,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784135846499,3,Web - GET index.html,200,OK,Load - 50 users 1-3,text,true,,791,117,3,3,http://localhost:4173/,3,0,1
1784135846721,4,Web - GET JS bundle,200,OK,Load - 50 users 1-1,text,true,,578126,141,4,4,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
1784135846829,78,API - GET Courses,200,OK,Load - 50 users 1-2,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,78,0,0
1784135847008,4,Web - GET JS bundle,200,OK,Load - 50 users 1-3,text,true,,578126,141,4,4,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
1784135847112,76,API - GET Courses,200,OK,Load - 50 users 1-4,text,true,,6743,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,76,0,1
1784135847231,3,Web - GET CSS bundle,200,OK,Load - 50 users 1-1,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135847413,3,Web - GET index.html,200,OK,Load - 50 users 1-2,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784135847515,3,Web - GET CSS bundle,200,OK,Load - 50 users 1-3,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784135847695,4,Web - GET index.html,200,OK,Load - 50 users 1-4,text,true,,791,117,4,4,http://localhost:4173/,3,0,1
1784135847738,80,API - GET Courses,200,OK,Load - 50 users 1-1,text,true,,6743,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,80,0,0
1784135847922,4,Web - GET JS bundle,200,OK,Load - 50 users 1-2,text,true,,578126,141,5,5,http://localhost:4173/assets/index-4REPhchB.js,3,0,0
