timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784136477439,315,POST Login,200,OK,setUp - Login Once 1-1,text,true,,1477,234,1,1,http://localhost:5050/api/v1/auth/login,313,0,8
1784136478471,92,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6739,366,1,1,http://localhost:5050/api/v1/courses?page=1&limit=20,92,0,2
1784136479066,5,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,1,1,http://localhost:4173/,5,0,1
1784136479577,5,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,177350,141,1,1,http://localhost:4173/assets/index-CkFmkQjD.js,4,0,0
1784136480088,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,1,1,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784136480602,44,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6738,366,1,1,http://localhost:5050/api/v1/courses?page=1&limit=20,44,0,0
1784136481152,4,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,2,2,http://localhost:4173/,4,0,0
1784136481476,44,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6738,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,44,0,1
1784136481662,4,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,177350,141,2,2,http://localhost:4173/assets/index-CkFmkQjD.js,4,0,0
1784136482027,4,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,2,2,http://localhost:4173/,4,0,1
1784136482172,5,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784136482537,5,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,177350,141,2,2,http://localhost:4173/assets/index-CkFmkQjD.js,5,0,0
1784136482683,43,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6738,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,43,0,0
1784136483048,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136483232,3,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,2,2,http://localhost:4173/,3,0,0
1784136483555,39,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6738,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,39,0,0
1784136483738,4,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,177350,141,2,2,http://localhost:4173/assets/index-CkFmkQjD.js,4,0,0
1784136484095,4,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,3,3,http://localhost:4173/,3,0,0
1784136484248,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136484467,39,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,39,0,2
1784136484605,4,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,4,0,0
1784136484754,42,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,42,0,0
1784136485009,3,Web - GET index.html,200,OK,Load - 10 users 1-3,text,true,,791,117,3,3,http://localhost:4173/,3,0,1
1784136485113,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136485302,4,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,3,3,http://localhost:4173/,4,0,0
1784136485518,4,Web - GET JS bundle,200,OK,Load - 10 users 1-3,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,4,0,0
1784136485622,44,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,44,0,0
1784136485812,3,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136486025,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-3,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136486169,3,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,3,3,http://localhost:4173/,3,0,0
1784136486322,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136486534,42,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,42,0,0
1784136486677,3,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136486831,38,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,38,0,0
1784136487082,3,Web - GET index.html,200,OK,Load - 10 users 1-3,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784136487182,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136487375,3,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784136487475,43,API - GET Courses,200,OK,Load - 10 users 1-4,text,true,,6738,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,42,0,2
1784136487589,4,Web - GET JS bundle,200,OK,Load - 10 users 1-3,text,true,,177350,141,4,4,http://localhost:4173/assets/index-CkFmkQjD.js,4,0,0
1784136487688,39,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6738,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,39,0,0
1784136487881,4,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,177350,141,4,4,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136488021,4,Web - GET index.html,200,OK,Load - 10 users 1-4,text,true,,791,117,4,4,http://localhost:4173/,4,0,1
1784136488099,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-3,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784136488233,4,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,4,4,http://localhost:4173/,4,0,0
1784136488389,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136488531,3,Web - GET JS bundle,200,OK,Load - 10 users 1-4,text,true,,177350,141,4,4,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136488609,43,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6738,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,42,0,0
1784136488740,4,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,177350,141,4,4,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136488898,37,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6738,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,37,0,0
1784136489040,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-4,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784136489156,3,Web - GET index.html,200,OK,Load - 10 users 1-3,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784136489249,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136489439,4,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,4,4,http://localhost:4173/,3,0,0
1784136489550,44,API - GET Courses,200,OK,Load - 10 users 1-4,text,true,,6738,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,44,0,0
1784136489665,3,Web - GET JS bundle,200,OK,Load - 10 users 1-3,text,true,,177350,141,4,4,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136489756,38,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6738,366,4,4,http://localhost:5050/api/v1/courses?page=1&limit=20,38,0,0
1784136489945,4,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,177350,141,4,4,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136490100,2,Web - GET index.html,200,OK,Load - 10 users 1-4,text,true,,791,117,5,5,http://localhost:4173/,2,0,0
1784136490174,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-3,text,true,,5891,142,5,5,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784136490301,3,Web - GET index.html,200,OK,Load - 10 users 1-2,text,true,,791,117,5,5,http://localhost:4173/,3,0,0
1784136490455,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-1,text,true,,5891,142,5,5,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136490475,39,API - GET Courses,200,OK,Load - 10 users 1-5,text,true,,6738,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,39,0,2
1784136490605,4,Web - GET JS bundle,200,OK,Load - 10 users 1-4,text,true,,177350,141,5,5,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136490683,37,API - GET Courses,200,OK,Load - 10 users 1-3,text,true,,6738,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,37,0,0
1784136490810,4,Web - GET JS bundle,200,OK,Load - 10 users 1-2,text,true,,177350,141,5,5,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136490962,39,API - GET Courses,200,OK,Load - 10 users 1-1,text,true,,6738,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,39,0,0
1784136491021,7,Web - GET index.html,200,OK,Load - 10 users 1-5,text,true,,791,117,5,5,http://localhost:4173/,7,0,2
1784136491114,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-4,text,true,,5891,142,5,5,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136491225,3,Web - GET index.html,200,OK,Load - 10 users 1-3,text,true,,791,117,5,5,http://localhost:4173/,3,0,0
1784136491316,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-2,text,true,,5891,142,5,5,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136491507,3,Web - GET index.html,200,OK,Load - 10 users 1-1,text,true,,791,117,5,5,http://localhost:4173/,3,0,0
1784136491534,2,Web - GET JS bundle,200,OK,Load - 10 users 1-5,text,true,,177350,141,5,5,http://localhost:4173/assets/index-CkFmkQjD.js,2,0,0
1784136491623,44,API - GET Courses,200,OK,Load - 10 users 1-4,text,true,,6738,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,43,0,0
1784136491734,3,Web - GET JS bundle,200,OK,Load - 10 users 1-3,text,true,,177350,141,5,5,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136491823,38,API - GET Courses,200,OK,Load - 10 users 1-2,text,true,,6738,366,5,5,http://localhost:5050/api/v1/courses?page=1&limit=20,38,0,0
1784136492014,3,Web - GET JS bundle,200,OK,Load - 10 users 1-1,text,true,,177350,141,5,5,http://localhost:4173/assets/index-CkFmkQjD.js,2,0,0
1784136492042,4,Web - GET CSS bundle,200,OK,Load - 10 users 1-5,text,true,,5891,142,5,5,http://localhost:4173/assets/index-DgVZD9jl.css,4,0,0
1784136492172,3,Web - GET index.html,200,OK,Load - 10 users 1-4,text,true,,791,117,5,5,http://localhost:4173/,3,0,0
